10,0.155,0.158,0.153,0.158,0.15,0.154
20,0.157,0.16,0.156,0.16,0.152,0.157
27.6,0.161,0.164,0.16,0.164,0.155,0.161
30.,0.164,0.168,0.163,0.168,0.159,0.164
36.9,0.169,0.174,0.17,0.174,0.165,0.171
41.9,0.172,0.177,0.174,0.178,0.168,0.174
47.9,0.173,0.183,0.177,0.18,0.17,0.177
54.,0.174,0.18,0.179,0.182,0.172,0.179
59.9,0.175,0.18,0.18,0.183,0.173,0.18
65.,0.176,0.181,0.181,0.184,0.174,0.181
10,0.296,0.299,0.306,0.314,0.311,0.309
20,0.308,0.303,0.308,0.315,0.315,0.312
27.6,0.315,0.309,0.315,0.322,0.321,0.318
30.,0.321,0.316,0.321,0.328,0.328,0.324
36.9,0.332,0.329,0.335,0.343,0.342,0.338
41.9,0.339,0.339,0.344,0.352,0.351,0.347
47.9,0.344,0.345,0.349,0.357,0.356,0.353
54.,0.341,0.347,0.351,0.362,0.359,0.356
59.9,0.332,0.349,0.353,0.361,0.362,0.359
65.,0.333,0.35,0.354,0.364,0.363,0.361
10,0.44,0.461,0.542,0.544,0.445,0.451
20,0.445,0.465,0.545,0.552,0.456,0.453
27.6,0.454,0.475,0.553,0.565,0.465,0.463
30.,0.463,0.483,0.564,0.576,0.473,0.471
36.9,0.481,0.504,0.587,0.601,0.493,0.492
41.9,0.495,0.52,0.606,0.622,0.508,0.507
47.9,0.503,0.529,0.615,0.633,0.517,0.515
54.,0.507,0.533,0.619,0.638,0.52,0.52
59.9,0.51,0.536,0.621,0.64,0.523,0.523
65.,0.513,0.537,0.624,0.642,0.526,0.526
10,0.606,0.611,0.582,0.429,0.606,0.601
20,0.612,0.616,0.584,0.433,0.61,0.604
27.6,0.624,0.626,0.594,0.441,0.621,0.618
30.,0.633,0.636,0.604,0.448,0.632,0.627
36.9,0.659,0.663,0.629,0.467,0.658,0.654
41.9,0.681,0.685,0.65,0.482,0.679,0.676
47.9,0.692,0.698,0.661,0.49,0.692,0.69
54.,0.698,0.704,0.665,0.494,0.697,0.694
59.9,0.703,0.709,0.669,0.497,0.702,0.698
65.,0.707,0.712,0.672,0.499,0.704,0.702
10,0.74,0.761,0.56,0.687,0.75,0.757
20,0.75,0.77,0.566,0.693,0.752,0.773
27.6,0.765,0.785,0.577,0.705,0.766,0.787
30.,0.776,0.798,0.586,0.716,0.777,0.794
36.9,0.809,0.83,0.611,0.746,0.808,0.832
41.9,0.838,0.859,0.631,0.772,0.836,0.857
47.9,0.855,0.878,0.643,0.788,0.854,0.865
54.,0.863,0.886,0.648,0.798,0.862,0.885
59.9,0.87,0.893,0.652,0.801,0.868,0.88
65.,0.877,0.898,0.652,0.806,0.869,0.889
10,0.892,0.9,0.654,0.843,0.895,0.897
20,0.902,0.913,0.668,0.849,0.906,0.904
27.6,0.919,0.929,0.679,0.866,0.922,0.922
30.,0.934,0.94,0.688,0.877,0.933,0.936
36.9,0.976,0.978,0.719,0.914,0.961,0.975
41.9,1.011,1.011,0.743,0.946,0.994,1.009
47.9,1.034,1.035,0.757,0.97,1.026,1.031
54.,1.041,1.046,0.759,0.98,1.028,1.038
59.9,1.041,1.051,0.76,0.983,1.036,1.045
65.,1.055,1.054,0.76,0.99,1.043,1.053
