Time ( Second ),mix 1,mix 2,mix 3,mix 4,mix 1 30C,mix 1 40C
0,-0.0001,0.0002,0.0002,0.0001,0.0003,0.0004
1,-0.0001,0.0002,0.0002,0.0003,0.0005,0.0002
2,-0.0001,0.0001,0.0002,0.0003,0.0004,0.0056
3,0,0.2251,0.0003,0.0004,0.0002,0.3993
4,0,0.7782,0.1722,0.0003,0.2067,0.4892
5,0.0899,0.7724,0.7098,0.3646,0.5335,0.4817
6,0.728,0.7663,0.7033,1.3931,0.5292,0.4743
7,0.7256,0.7604,0.6973,1.3898,0.5249,0.4669
8,0.7228,0.7544,0.6913,1.3887,0.5206,0.4594
9,0.7201,0.7485,0.6853,1.3864,0.5164,0.452
10,0.7174,0.7427,0.6792,1.3836,0.5121,0.4445
11,0.7148,0.7369,0.6732,1.3809,0.5079,0.437
12,0.7121,0.731,0.6672,1.3787,0.5036,0.4296
13,0.7094,0.7252,0.6611,1.3767,0.4994,0.4221
14,0.7067,0.7193,0.6551,1.3748,0.4951,0.4146
15,0.704,0.7134,0.649,1.3726,0.4909,0.4071
16,0.7013,0.7076,0.643,1.37,0.4865,0.3994
17,0.6985,0.7017,0.637,1.3672,0.4823,0.3919
18,0.6958,0.6959,0.631,1.3643,0.4781,0.3844
19,0.6931,0.6901,0.6249,1.3614,0.4738,0.377
20,0.6904,0.6843,0.6189,1.3586,0.4696,0.3695
21,0.6877,0.6785,0.6128,1.3557,0.4654,0.362
22,0.685,0.6727,0.6068,1.3527,0.4612,0.3544
23,0.6823,0.6669,0.6007,1.3498,0.4569,0.3469
24,0.6795,0.6612,0.5946,1.3469,0.4527,0.3395
25,0.6768,0.6554,0.5886,1.3439,0.4485,0.332
26,0.6741,0.6497,0.5825,1.341,0.4443,0.3247
27,0.6714,0.644,0.5765,1.338,0.44,0.3173
28,0.6686,0.6383,0.5704,1.335,0.4358,0.31
29,0.6659,0.6326,0.5643,1.332,0.4316,0.3028
30,0.6632,0.6269,0.5583,1.3289,0.4274,0.2956
31,0.6605,0.6212,0.5522,1.3258,0.423,0.2883
32,0.6577,0.6155,0.5461,1.3227,0.4188,0.2812
33,0.655,0.6098,0.54,1.3195,0.4146,0.2742
34,0.6523,0.6041,0.5339,1.3163,0.4104,0.2672
35,0.6495,0.5984,0.5278,1.3131,0.4062,0.2603
36,0.6468,0.5927,0.5218,1.31,0.402,0.2534
37,0.644,0.587,0.5157,1.3067,0.3978,0.2465
38,0.6413,0.5812,0.5096,1.3035,0.3936,0.2396
39,0.6385,0.5756,0.5035,1.3003,0.3894,0.2327
40,0.6358,0.5699,0.4974,1.2971,0.3853,0.2259
41,0.633,0.5642,0.4913,1.294,0.3811,0.2191
42,0.6303,0.5584,0.4852,1.2909,0.377,0.2123
43,0.6275,0.5527,0.4791,1.2878,0.3728,0.2056
44,0.6248,0.547,0.473,1.2846,0.3687,0.1989
45,0.622,0.5414,0.4669,1.2815,0.3646,0.1922
46,0.6193,0.5356,0.4607,1.2783,0.3605,0.1856
47,0.6165,0.53,0.4546,1.2752,0.3562,0.1787
48,0.6137,0.5242,0.4485,1.272,0.3521,0.1721
49,0.6109,0.5185,0.4424,1.2688,0.348,0.1655
50,0.6082,0.5127,0.4363,1.2656,0.3439,0.1588
51,0.6054,0.5069,0.4302,1.2624,0.3398,0.1523
52,0.6026,0.5011,0.424,1.2592,0.3357,0.1457
53,0.5998,0.4953,0.4179,1.256,0.3316,0.1392
54,0.5971,0.4895,0.4118,1.2528,0.3275,0.1327
55,0.5943,0.4837,0.4057,1.2495,0.3234,0.1262
56,0.5915,0.4779,0.3995,1.2462,0.3192,0.1197
57,0.5887,0.472,0.3934,1.2429,0.3152,0.1133
58,0.5859,0.4661,0.3872,1.2397,0.3111,0.1069
59,0.5831,0.4602,0.3811,1.2366,0.3071,0.1006
60,0.5803,0.4543,0.375,1.2334,0.303,0.0944
61,0.5776,0.4484,0.3688,1.2303,0.2989,0.0883
62,0.5748,0.4427,0.3626,1.2271,0.2948,0.0826
63,0.572,0.4369,0.3564,1.2241,0.2905,0.0778
64,0.5692,0.4312,0.3503,1.221,0.2864,0.075
65,0.5664,0.4255,0.3441,1.2178,0.2824,0.0739
66,0.5636,0.4199,0.3379,1.2147,0.2783,0.0735
67,0.5608,0.4142,0.3316,1.2116,0.2743,0.0733
68,0.558,0.4085,0.3252,1.2084,0.2702,0.0733
69,0.5552,0.4027,0.319,1.2052,0.2662,0.0733
70,0.5524,0.3969,0.3128,1.202,0.2621,0.0733
71,0.5496,0.3912,0.3066,1.1988,0.2579,0.0732
72,0.5468,0.3854,0.3003,1.1954,0.2538,0.0732
73,0.544,0.3796,0.2941,1.192,0.2497,0.0732
74,0.5412,0.3739,0.288,1.1886,0.2456,0.0732
75,0.5383,0.3681,0.2819,1.1853,0.2415,0.0732
76,0.5355,0.3624,0.2758,1.182,0.2374,0.0732
77,0.5327,0.3567,0.2698,1.1789,0.2333,0.0731
78,0.5299,0.3509,0.2637,1.1758,0.2292,0.0731
79,0.5271,0.3452,0.2575,1.1727,0.2251,0.0731
80,0.5243,0.3395,0.2514,1.1696,0.2211,0.073
81,0.5215,0.3337,0.2453,1.1665,0.2171,0.0731
82,0.5186,0.328,0.2392,1.1635,0.2131,0.073
83,0.5158,0.3222,0.2331,1.1606,0.2091,0.073
84,0.513,0.3165,0.227,1.1576,0.2051,0.073
85,0.5102,0.3108,0.2209,1.1547,0.2011,0.073
86,0.5073,0.3051,0.2149,1.1518,0.1972,0.073
87,0.5045,0.2993,0.2088,1.1488,0.1932,0.073
88,0.5017,0.2936,0.2027,1.1459,0.1892,0.0729
89,0.4988,0.2879,0.1966,1.143,0.1853,0.0729
90,0.496,0.2821,0.1906,1.1399,0.1813,0.0729
91,0.4932,0.2764,0.1845,1.1369,0.1774,0.0729
92,0.4903,0.2706,0.1784,1.1338,0.1735,0.0728
93,0.4875,0.2648,0.1723,1.1307,0.1695,0.0728
94,0.4847,0.2591,0.1662,1.1275,0.1655,
95,0.4818,0.2534,0.16,1.1244,0.1616,
96,0.479,0.2476,0.1539,1.1212,0.1577,
97,0.4762,0.2419,0.1478,1.118,0.1538,
98,0.4733,0.2362,0.1417,1.1148,0.1499,
99,0.4704,0.2304,0.1357,1.1116,0.146,
100,0.4676,0.2246,0.1297,1.1084,0.1421,
101,0.4647,0.2189,0.1237,1.1052,0.1382,
102,0.4619,0.2131,0.1178,1.1021,0.1343,
103,0.4591,0.2073,0.1119,1.0991,0.1304,
